home_team,away_team,home_goals,away_goals,result,season,season_start
Sheffield United,Liverpool,1.0,1.0,D,2006-2007,2006
Arsenal,Aston Villa,1.0,1.0,D,2006-2007,2006
Everton,Watford,2.0,1.0,H,2006-2007,2006
Newcastle United,Wigan Athletic,2.0,1.0,H,2006-2007,2006
Portsmouth,Blackburn Rovers,3.0,0.0,H,2006-2007,2006
Reading,Middlesbrough,3.0,2.0,H,2006-2007,2006
West Ham United,Charlton Athletic,3.0,1.0,H,2006-2007,2006
Bolton Wanderers,Tottenham Hotspur,2.0,0.0,H,2006-2007,2006
Manchester United,Fulham,5.0,1.0,H,2006-2007,2006
Chelsea,Manchester City,3.0,0.0,H,2006-2007,2006
Watford,West Ham United,1.0,1.0,D,2006-2007,2006
Tottenham Hotspur,Sheffield United,2.0,0.0,H,2006-2007,2006
Aston Villa,Reading,2.0,1.0,H,2006-2007,2006
Manchester City,Portsmouth,0.0,0.0,D,2006-2007,2006
Blackburn Rovers,Everton,1.0,1.0,D,2006-2007,2006
Charlton Athletic,Manchester United,0.0,3.0,A,2006-2007,2006
Fulham,Bolton Wanderers,1.0,1.0,D,2006-2007,2006
Middlesbrough,Chelsea,2.0,1.0,H,2006-2007,2006
Liverpool,West Ham United,2.0,1.0,H,2006-2007,2006
Charlton Athletic,Bolton Wanderers,2.0,0.0,H,2006-2007,2006
Fulham,Sheffield United,1.0,0.0,H,2006-2007,2006
Tottenham Hotspur,Everton,0.0,2.0,A,2006-2007,2006
Watford,Manchester United,1.0,2.0,A,2006-2007,2006
Wigan Athletic,Reading,1.0,0.0,H,2006-2007,2006
Manchester City,Arsenal,1.0,0.0,H,2006-2007,2006
Aston Villa,Newcastle United,2.0,0.0,H,2006-2007,2006
Blackburn Rovers,Chelsea,0.0,2.0,A,2006-2007,2006
Middlesbrough,Portsmouth,0.0,4.0,A,2006-2007,2006
Everton,Liverpool,3.0,0.0,H,2006-2007,2006
Arsenal,Middlesbrough,1.0,1.0,D,2006-2007,2006
Bolton Wanderers,Watford,1.0,0.0,H,2006-2007,2006
Chelsea,Charlton Athletic,2.0,1.0,H,2006-2007,2006
Newcastle United,Fulham,1.0,2.0,A,2006-2007,2006
Portsmouth,Wigan Athletic,1.0,0.0,H,2006-2007,2006
Sheffield United,Blackburn Rovers,0.0,0.0,D,2006-2007,2006
Manchester United,Tottenham Hotspur,1.0,0.0,H,2006-2007,2006
West Ham United,Aston Villa,1.0,1.0,D,2006-2007,2006
Reading,Manchester City,1.0,0.0,H,2006-2007,2006
Charlton Athletic,Portsmouth,0.0,1.0,A,2006-2007,2006
Bolton Wanderers,Middlesbrough,0.0,0.0,D,2006-2007,2006
Everton,Wigan Athletic,2.0,2.0,D,2006-2007,2006
Sheffield United,Reading,1.0,2.0,A,2006-2007,2006
Watford,Aston Villa,0.0,0.0,D,2006-2007,2006
Chelsea,Liverpool,1.0,0.0,H,2006-2007,2006
Blackburn Rovers,Manchester City,4.0,2.0,H,2006-2007,2006
Tottenham Hotspur,Fulham,0.0,0.0,D,2006-2007,2006
West Ham United,Newcastle United,0.0,2.0,A,2006-2007,2006
Manchester United,Arsenal,0.0,1.0,A,2006-2007,2006
Liverpool,Newcastle United,2.0,0.0,H,2006-2007,2006
Liverpool,Tottenham Hotspur,3.0,0.0,H,2006-2007,2006
Arsenal,Sheffield United,3.0,0.0,H,2006-2007,2006
Aston Villa,Charlton Athletic,2.0,0.0,H,2006-2007,2006
Fulham,Chelsea,0.0,2.0,A,2006-2007,2006
Manchester City,West Ham United,2.0,0.0,H,2006-2007,2006
Middlesbrough,Blackburn Rovers,0.0,1.0,A,2006-2007,2006
Wigan Athletic,Watford,1.0,1.0,D,2006-2007,2006
